state,zipcode,total_pop,total_income,country,avg_income
NY,10018,7030,3964454,USA,563933.7126600285
NY,10019,26810,8005583,USA,298604.36404326744
NY,10021,23600,12798847,USA,542324.0254237289
NY,10022,20440,14226340,USA,696004.892367906
NY,10023,34740,12391069,USA,356680.1669545193
NY,10024,30640,13806195,USA,450593.83159268927
NY,10025,46250,8028810,USA,173595.8918918919
NY,10026,18420,1440633,USA,78210.26058631921
NY,10027,27710,1972417,USA,71180.6928906532
NY,10028,25670,10128983,USA,394584.4565640826
NY,10029,35410,2022052,USA,57103.981926009605
NY,10030,13950,645026,USA,46238.4229390681
NY,10031,29390,1401061,USA,47671.350799591695
NY,10032,29400,1270384,USA,43210.34013605442
NY,10033,27090,1360083,USA,50206.09080841639
NY,10034,19890,1019289,USA,51246.30467571644
NY,10035,15570,833400,USA,53526.011560693645
NY,10036,19180,4568142,USA,238172.15849843586
NY,10037,10620,570270,USA,53697.74011299435
NY,10038,13000,1953888,USA,150299.07692307694
NY,10039,13270,586050,USA,44163.52675207234
NY,10040,21550,1037660,USA,48151.276102088166
NY,10044,4570,472585,USA,103410.28446389496
NY,10065,16180,8892119,USA,549574.7218788628
NY,10069,3170,1777529,USA,560734.7003154574
NY,10075,14390,6848124,USA,475894.6490618485
NY,10128,33540,12570244,USA,374783.6612999404
NY,10162,730,203692,USA,279030.1369863014
NY,10280,4330,1047685,USA,241959.584295612
NY,10282,2380,1442366,USA,606036.1344537815
NY,10301,18280,1369609,USA,74923.90590809628
NY,10302,8280,458236,USA,55342.51207729468
NY,10303,12440,594095,USA,47756.832797427654
NY,10304,20440,1515252,USA,74131.70254403132
NY,10305,19850,1278252,USA,64395.566750629725
NY,10306,27730,2132001,USA,76884.27695636495
NY,10307,6580,657079,USA,99860.03039513678
NY,10308,13810,1124965,USA,81460.17378711079
NY,10309,15510,1420600,USA,91592.52095422309
NY,10310,11670,776063,USA,66500.68551842331
NY,10312,29720,2582965,USA,86909.9932705249
NY,10314,41630,3085380,USA,74114.34061974537
NY,10451,24060,857426,USA,35636.99085619285
NY,10452,36950,1129896,USA,30579.052774018946
NY,10453,38230,1118282,USA,29251.425582003663
NY,10454,15940,488519,USA,30647.365119196988
NY,10455,18200,574656,USA,31574.505494505494
NY,10456,41000,1209535,USA,29500.853658536584
NY,10457,33580,997507,USA,29705.390113162597
NY,10458,34930,1116373,USA,31960.292012596623
NY,10459,21680,678052,USA,31275.461254612546
NY,10460,26260,826025,USA,31455.635948210205
NY,10461,24870,1346454,USA,54139.68636911942
NY,10462,40210,1795269,USA,44647.326535687644
NY,10463,34570,2432458,USA,70363.26294474979
NY,10464,2210,212670,USA,96230.76923076923
NY,10465,19990,1287456,USA,64405.00250125062
NY,10466,32980,1388485,USA,42100.81867798666
NY,10467,45670,1714750,USA,37546.52945040508
NY,10468,36480,1203575,USA,32992.73574561404
NY,10469,32960,1593018,USA,48331.8567961165
NY,10470,7810,435453,USA,55755.82586427657
NY,10471,10140,1390724,USA,137152.26824457594
NY,10472,29380,971500,USA,33066.71204901293
NY,10473,28790,1203457,USA,41801.215699895794
NY,10474,4980,155708,USA,31266.666666666668
NY,10475,22930,1153512,USA,50305.80026166594
NY,10501,690,111607,USA,161749.27536231885
NY,10502,2860,568085,USA,198631.1188811189
NY,10504,4170,1946517,USA,466790.6474820144
NY,10505,810,103648,USA,127960.49382716049
NY,10506,2790,1212840,USA,434709.67741935485
NY,10507,2640,648922,USA,245803.78787878787
NY,10509,10040,930991,USA,92728.18725099602
NY,10510,4800,1470198,USA,306291.25
NY,10511,1160,97558,USA,84101.72413793103
NY,10512,12700,1173165,USA,92375.1968503937
NY,10514,5440,2714858,USA,499054.7794117647
NY,10516,2720,368557,USA,135498.89705882352
NY,10518,720,135066,USA,187591.66666666666
NY,10520,6360,930108,USA,146243.3962264151
NY,10522,5360,919988,USA,171639.55223880598
NY,10523,4960,395481,USA,79734.07258064517
NY,10524,2130,336619,USA,158037.08920187794
NY,10526,980,162336,USA,165648.97959183675
NY,10527,450,84297,USA,187326.66666666666
NY,10528,5980,1745733,USA,291928.59531772573
NY,10530,7220,1027856,USA,142362.3268698061
NY,10532,2550,277918,USA,108987.45098039215
NY,10533,3700,1083935,USA,292955.4054054054
